scenarios,locs,techs,carriers,units,flow_out_sum
135,PRT_1,chp_biofuel_extraction,electricity,kilowatt hour,67803859.3423658
135,PRT_2,chp_biofuel_extraction,electricity,kilowatt hour,14431382.7767323
135,PRT_1,chp_hydrogen,electricity,kilowatt hour,56685221.6335928
135,PRT_2,chp_hydrogen,electricity,kilowatt hour,57773693.7646407
135,PRT_1,chp_methane_extraction,electricity,kilowatt hour,25144476.5117286
135,PRT_2,chp_methane_extraction,electricity,kilowatt hour,28939546.562839102
135,PRT_1,chp_wte_back_pressure,electricity,kilowatt hour,228789920.5297291
135,PRT_2,chp_wte_back_pressure,electricity,kilowatt hour,224086607.8835491
135,ESP,el_import,electricity,kilowatt hour,8942451317.744543
135,PRT_1,electrolysis,hydrogen,kg,1560212.61482248
135,PRT_2,electrolysis,hydrogen,kg,14034792125.653927
135,PRT_1,existing_pv,electricity,kilowatt hour,1555227025.4439888
135,PRT_1,existing_wind,electricity,kilowatt hour,15950372037.977674
135,PRT_1,heat_storage_big,heat,unit,9953430.981884446
135,PRT_2,heat_storage_big,heat,unit,7121942.588375792
135,PRT_1,heat_storage_small,heat,unit,587824180.393414
135,PRT_2,heat_storage_small,heat,unit,487379551.93366206
135,PRT_1,hydro_reservoir,electricity,kilowatt hour,2149340053.8103504
135,PRT_2,hydro_reservoir,electricity,kilowatt hour,388462557.31448644
135,PRT_1,hydro_run_of_river,electricity,kilowatt hour,2324347166.937466
135,PRT_2,hydro_run_of_river,electricity,kilowatt hour,350449525.731304
135,PRT_1,methane_boiler,heat,megajoule,127014753.91778171
135,PRT_2,methane_boiler,heat,megajoule,229921946.20229617
135,PRT_1,methane_storage,methane,unit,2861.004845132525
135,PRT_2,methane_storage,methane,unit,2857.308622984524
135,PRT_1,open_field_pv,electricity,kilowatt hour,72873532954.86388
135,PRT_1,pumped_hydro,electricity,kilowatt hour,6950653366.593838
135,PRT_2,pumped_hydro,electricity,kilowatt hour,1031441768.2970598
135,PRT_1,roof_mounted_pv,electricity,kilowatt hour,20349347.1302319
135,PRT_1,waste_supply,waste,kilowatt hour,1029607489.9458222
135,PRT_2,waste_supply,waste,kilowatt hour,1007693211.573498
135,PRT_1,wind_offshore,electricity,kilowatt hour,114803236.4930562
135,PRT_1,wind_onshore,electricity,kilowatt hour,79564879138.95937
136,PRT_1,battery,electricity,kilogram,3749457341.417658
136,PRT_2,battery,electricity,kilogram,5043705191.886848
136,PRT_1,biofuel_boiler,heat,megajoule,576089813.7775472
136,PRT_2,biofuel_boiler,heat,megajoule,1497840599.8659024
136,PRT_1,biofuel_supply,biofuel,kilogram,817549077.3091677
136,PRT_2,biofuel_supply,biofuel,kilogram,1399661114.2042973
136,PRT_1,biofuel_to_diesel,diesel,kilogram,150995693.58915526
136,PRT_2,biofuel_to_diesel,diesel,kilogram,144421328.05661106
136,PRT_1,biofuel_to_methane,methane,cubic meter,68028780.84565826
136,PRT_2,biofuel_to_methane,methane,cubic meter,3042619.839485319
136,PRT_1,biofuel_to_methanol,methanol,kilogram,63934747.09494385
136,PRT_2,biofuel_to_methanol,methanol,kilogram,958862586.3532854
136,PRT_1,ccgt,electricity,kilowatt hour,25127692.4103229
136,PRT_2,ccgt,electricity,kilowatt hour,25411522.4940833
136,PRT_1,chp_biofuel_extraction,electricity,kilowatt hour,246817093.27946928
136,PRT_2,chp_biofuel_extraction,electricity,kilowatt hour,341102648.3441846
136,PRT_1,chp_hydrogen,electricity,kilowatt hour,203149802.6982847
136,PRT_2,chp_hydrogen,electricity,kilowatt hour,207532329.55611157
136,PRT_1,chp_methane_extraction,electricity,kilowatt hour,104036955.5767621
136,PRT_2,chp_methane_extraction,electricity,kilowatt hour,108648565.8177146
136,PRT_1,chp_wte_back_pressure,electricity,kilowatt hour,244118496.58164638
136,PRT_2,chp_wte_back_pressure,electricity,kilowatt hour,240304549.1021896
136,ESP,el_import,electricity,kilowatt hour,9854865281.702152
136,PRT_1,electrolysis,hydrogen,kg,11201828673.213133
136,PRT_2,electrolysis,hydrogen,kg,15539963.498240668
136,PRT_1,existing_pv,electricity,kilowatt hour,1396393325.2039263
136,PRT_1,existing_wind,electricity,kilowatt hour,15617812148.067165
136,PRT_1,heat_storage_big,heat,unit,23717497.031100005
136,PRT_2,heat_storage_big,heat,unit,33307333.84335383
136,PRT_1,heat_storage_small,heat,unit,548737714.7047032
136,PRT_2,heat_storage_small,heat,unit,587121051.3746699
136,PRT_1,hydro_reservoir,electricity,kilowatt hour,2107578270.956793
136,PRT_2,hydro_reservoir,electricity,kilowatt hour,378505047.8008104
136,PRT_1,hydro_run_of_river,electricity,kilowatt hour,2270940675.272729
136,PRT_2,hydro_run_of_river,electricity,kilowatt hour,333386594.1541026
136,PRT_1,methane_boiler,heat,megajoule,658309638.2787684
